numer,denom,倒数分解法
194363049763710003766635558585046247942972804824524011565285256326578303462077743568819331893583820396972473320216523798622810000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,8571410494579611166108628133600539534285100692761508910029079804002103182677628491384932536507046479506486073421548699519265921000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1
40816240450379100790993467302859712068024289013150042428709903828581443727036326149452059697652602283364219397245469997710790100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1799996203861718344882811908056113302199871145479916871106106758840441668362301983190835832666479760696362075418525226899045843410000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1
8571410494579611166108628133600539534285100692761508910029079804002103182677628491384932536507046479506486073421548699519265921000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,377999202810960852425390500691783793461972940550782542932282419356492750356083416470075524859960749746236035837890297648799627116100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1
1799996203861718344882811908056113302199871145479916871106106758840441668362301983190835832666479760696362075418525226899045843410000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,79379832590301779009332005145274596627014317515664334015779308064863477574777517458715860220591757446709567525956962506247921694381000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1
377999202810960852425390500691783793461972940550782542932282419356492750356083416470075524859960749746236035837890297648799627116100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,16669764843963373591959721080507665291673006678289510143313654693621330290703278666330330646324269063809009180450962126312063555820010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1
79379832590301779009332005145274596627014317515664334015779308064863477574777517458715860220591757446709567525956962506247921694381000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,3500650617232308454311541426906609711251331402440797130095867485660479361047688519929369435728096503399891927894702046525533346722202100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1
16669764843963373591959721080507665291673006678289510143313654693621330290703278666330330646324269063809009180450962126312063555820010000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,735136629618784775405423699650388039362779594512567397320132171988700665820014589185167581502900265713977304857887429770362002811662441000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1
3500650617232308454311541426906609711251331402440797130095867485660479361047688519929369435728096503399891927894702046525533346722202100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,154378692219944802835138976926581488266183714847639153437227756117627139822203063728885192115609055799935234020156360251776020590449112610000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1
735136629618784775405423699650388039362779594512567397320132171988700665820014589185167581502900265713977304857887429770362002811662441000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,32419525366188408595379185154582112535898580118004222221817828784701699362662643383065890344277901717986399144232835652872964323994313648100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1
154378692219944802835138976926581488266183714847639153437227756117627139822203063728885192115609055799935234020156360251776020590449112610000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,6808100326899565805029628882462243632538701824780886666581744044787356866159155110443836972298359360777143820288895487103322508038805866101000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1
32419525366188408595379185154582112535898580118004222221817828784701699362662643383065890344277901717986399144232835652872964323994313648100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1429701068648908819056222065317071162833127383203986199982166249405344941893422573193205764182655465763200202260668052291697726688149231881210000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,1
